col0,col1,col2,col3
2000,Edna Rae Gillooly,Requiem for a Dream,Sara Goldfarb
2000,Joan Allen,Contender,Sen. Laine Billings Hanson
2000,Björk Guðmundsdóttir,Dancer in the Dark,Selma Ježková
2000,Laura Linney,You Can Count on Me,Samantha 'Sammy' Prescott
2000,Julia Roberts,Erin Brockovich,Erin Brockovich
2001,Naomi Watts,Mulholland Drive,Betty Elms / Diane Selwyn
2001,Thora Birch,Ghost World,Enid
2001,Nicole Kidman,The Others,Grace Stewart
2001,Sissy Spacek,In the Bedroom,Ruth Fowler
2001,Tilda Swinton,The Deep End,Margaret Hall
2002,Julianne Moore,Far from Heaven,Cathy Whitaker
2002,Jennifer Aniston,The Good Girl,Justine Last
2002,Maggie Gyllenhaal,Secretary,Lee Holloway
2002,Isabelle Huppert,The Piano Teacher,Erika Kohut
2002,Diane Lane,Unfaithful,Connie Sumner
2003,Naomi Watts,21 Grams,Cristina Peck
2003,Angela Bettis,May,May Dove Canady
2003,Scarlett Johansson,Lost in Translation,Charlotte
2003,Charlize Theron,Monster,Aileen Wuornos
2003,Uma Thurman,Kill Bill: Volume 1,The Bride/Black Mamba
2004,Kate Winslet,Eternal Sunshine of the Spotless Mind,Clementine Kruczynski
2004,Julie Delpy,Before Sunset,Celine
2004,Imelda Staunton,Vera Drake,Vera Drake
2004,Hilary Swank,Million Dollar Baby,Maggie Fitzgerald
2004,Uma Thurman,Kill Bill: Volume 2,Beatrix Kiddo/The Bride/Black Mamba
2005,Reese Witherspoon,Walk the Line,June Carter Cash
2005,Joan Allen,The Upside of Anger,Terry Wolfmeyer
2005,Felicity Huffman,Transamerica,Bree Osbourne
2005,Keira Knightley,Pride & Prejudice,Elizabeth Bennet
2005,Naomi Watts,King Kong,Ann Darrow
2006,Helen Mirren,The Queen,Queen Elizabeth II
2006,Penélope Cruz,Volver,Raimunda
2006,Judi Dench,Notes on a Scandal,Barbara Covett
2006,Meryl Streep,The Devil Wears Prada,Miranda Priestly
2006,Kate Winslet,Little Children,Sarah Pierce
2007,Julie Christie,Away from Her,Fiona Anderson
2007,Marion Cotillard,La Vie en rose,Édith Piaf
2007,Angelina Jolie,A Mighty Heart,Mariane Pearl
2007,Laura Linney,The Savages,Wendy Savage
2007,Elliot Page,Juno,Juno MacGuff
2008,Michelle Williams,Wendy and Lucy,Wendy Carroll
2008,Anne Hathaway,Rachel Getting Married,Kym Buchanan
2008,Sally Hawkins,Happy-Go-Lucky,Poppy Cross
2008,Meryl Streep,Doubt,Sister Aloysius Beauvier
2008,Kate Winslet,Revolutionary Road,April Wheeler
2009,Mélanie Laurent,Inglourious Basterds,Shoshanna Dreyfus
2009,Carey Mulligan,An Education,Jenny Miller
2009,Gabourey Sidibe,Precious,Claireece Precious Jones
2009,Meryl Streep,Julie & Julia,Julia Child
2009,Tilda Swinton,Julia,Julia
