col0,col1
1,"Perishable Products Export Control Amendment Act, 1979"
2,"Advertising on Roads and Ribbon Development Amendment Act, 1979"
3,"National Roads Amendment Act, 1979"
4,"Railways and Harbours Additional Appropriation Act, 1979"
5,"Senate Act, 1979"
6,"Admission of Persons to the Republic Regulation Amendment Act, 1979"
7,"Departure from the Union Regulation Amendment Act, 1979"
8,"Workmen's Compensation Amendment Act, 1979"
9,"Unemployment Insurance Amendment Act, 1979"
10,"Plant Improvement Amendment Act, 1979"
11,"Groot Constantia State Estate Control Amendment Act, 1979"
12,"Subdivision of Agricultural Land Amendment Act, 1979"
13,"Bethelsdorp Settlement Amendment Act, 1979"
14,"Patents Amendment Act, 1979"
15,"Additional Appropriation Act, 1979"
16,"Laws on Plural Relations and Development Amendment Act, 1979"
17,"Medicines and Related Substances Control Amendment Act, 1979"
18,"Health Amendment Act, 1979"
19,"Dental Technicians Act, 1979"
20,"Pharmacy Amendment Act, 1979"
21,"Black Taxation Amendment Act, 1979"
22,"Post Office Additional Appropriation Act, 1979"
23,"Dissolution of Marriages on Presumption of Death Act, 1979"
24,"Pre-Union Statute Laws Revision Act, 1979"
25,"Admission of Advocates Amendment Act, 1979"
26,"Slums Amendment Act, 1979"
27,"Railways and Harbours Appropriation Act, 1979"
28,"Part Appropriation Act, 1979"
29,"General Pensions Act, 1979"
30,"State Oil Fund Amendment Act, 1979"
31,"Business Names Amendment Act, 1979"
32,"Archives Amendment Act, 1979"
33,"Post Office Appropriation Act, 1979"
34,"Land Surveyors' Registration Amendment Act, 1979"
35,"National Monuments Amendment Act, 1979"
36,"Electoral Laws Amendment Act, 1979"
37,"Trade Marks Amendment Act, 1979"
38,"Hotels Amendment Act, 1979"
39,"Indians Education Amendment Act, 1979"
40,"Indians Advanced Technical Education Amendment Act, 1979"
41,"Electoral Act for Indians Amendment Act, 1979"
42,"Defence Amendment Act, 1979"
43,"Advanced Technical Education Amendment Act, 1979"
44,"Publications Amendment Act, 1979"
45,"Electoral Act, 1979"
46,"Atomic Energy Amendment Act, 1979"
47,"Uranium Enrichment Amendment Act, 1979"
48,"Tiger's-Eye Control Amendment Act, 1979"
49,"Parliamentary Service and Administrators' Pensions Amendment Act, 1979"
50,"Coloured Persons Education Amendment Act, 1979"
51,"Water Amendment Act, 1979"
52,"Universities for Blacks Amendment Act, 1979"
53,"Attorneys Act, 1979"
54,"Prisons Amendment Act, 1979"
55,"Liquor Amendment Act, 1979"
56,"Criminal Procedure Amendment Act, 1979"
57,"Coloured Persons Representative Council Amendment Act, 1979"
58,"Forest Amendment Act, 1979"
59,"Scientific Research Council Amendment Act, 1979"
60,"National Parks Amendment Act, 1979"
61,"Sea Fisheries Amendment Act, 1979"
62,"Rhodes University (Private) Amendment Act, 1979"
63,"Judges' Remuneration Amendment Act, 1979"
64,"Police Amendment Act, 1979"
65,"Inquests Amendment Act, 1979"
66,"Judges' Pensions Amendment Act, 1979"
67,"Agricultural Credit Amendment Act, 1979"
68,"Land Titles Adjustment Act, 1979"
69,"Co-operative Societies Amendment Act, 1979"
70,"Divorce Act, 1979"
71,"University of Natal (Private) Amendment Act, 1979"
72,"Petroleum Products Amendment Act, 1979"
73,"National Supplies Procurement Amendment Act, 1979"
74,"Second State Oil Fund Amendment Act, 1979"
75,"Temporary Employees Pension Fund Act, 1979"
76,"Slums Act, 1979"
77,"Professional Engineers' Amendment Act, 1979"
78,"Architects' Amendment Act, 1979"
79,"Quantity Surveyors' Amendment Act, 1979"
80,"Railways and Harbours Acts Amendment Act, 1979"
81,"Carriage by Air Amendment Act, 1979"
82,"National Institute for Metallurgy Amendment Act, 1979"
83,"Occupational Diseases in Mines and Works Amendment Act, 1979"
84,"University of Cape Town (Private) Amendment Act, 1979"
85,"Cape of Good Hope Savings Bank Society Amendment Act, 1979"
86,"University of Port Elizabeth (Private) Amendment Act, 1979"
87,"Promotion of the Density of Population in Designated Areas Act, 1979 (before 1985)    Designated Areas Development Act, 1979 (after 1985)"
88,"State Trust Board Act, 1979"
89,"Diamond Cutting Act, 1979"
90,"Education and Training Act, 1979"
91,"Public Accountants' and Auditors' Amendment Act, 1979"
92,"Financial Relations Amendment Act, 1979"
93,"Road Transportation Amendment Act, 1979"
94,"Industrial Conciliation Amendment Act, 1979"
95,"In-Service Training Act, 1979"
96,"Maintenance and Promotion of Competition Act, 1979"
97,"Second Unemployment Insurance Amendment Act, 1979"
98,"Laws on Plural Relations and Development Second Amendment Act, 1979"
99,"Constitution Amendment Act, 1979"
100,"Pension Laws Amendment Act, 1979"
101,"Finance Act, 1979"
102,"Revenue Laws Amendment Act, 1979"
103,"Financial Institutions Amendment Act, 1979"
104,"Income Tax Act, 1979"
105,"Financial Arrangements with Venda Act, 1979"
106,"Pensions (Supplementary) Act, 1979"
107,"Status of Venda Act, 1979"
108,"Information Service of South Africa Special Account Act, 1979"
109,"Housing Amendment Act, 1979"
110,"Customs and Excise Amendment Act, 1979"
111,"Sales Tax Amendment Act, 1979"
112,"University of Pretoria (Private) Amendment Act, 1979"
113,"Group Areas Amendment Act, 1979"
114,"Protection of Businesses Amendment Act, 1979"
115,"Companies Amendment Act, 1979"
116,"Fuel Research Institute and Coal Amendment Act, 1979"
117,"Electricity Amendment Act, 1979"
118,"Advocate-General Act, 1979 (before 1991)    Ombudsman Act, 1979 (after 1991)"
119,"South African Iron and Steel Industrial Corporation, Limited, Act, 1979"
120,"Appropriation Act, 1979"
