col0,col1
Tony Adams,"Qwghlm, Slumgum, Struway2"
Ken Barnes,Oldelpaso
David Beckham,PeeJay
David Beckham,Nzd
Anders Bernmar,Johan Elisson
Clyde Best,Egghead06
George Best,PeeJay
George Best,Nzd
George Best,PeeJay
Billy Bonds,Malcolmxl5
Trevor Brooking,Malcolmxl5
Bobby Buckle,Govvy
Matt Busby,PeeJay
Matt Busby,PeeJay
Johnny Byrne,Nzd
Eric Cantona,PeeJay
Eric Cantona,PeeJay
Eric Cantona,PeeJay
Eric Cantona,PeeJay
Eric Cantona,PeeJay
Eric Cantona,PeeJay
Fabio Capello,Mattythewhite
Jamie Carragher,NapHit
Tony Cascarino,Franburke2
Mel Charles,EchetusXe
John Charles,Franburke2
Bobby Charlton,PeeJay
Bobby Charlton,"Nzd, PeeJay"
Bobby Charlton,PeeJay
Brian Clough,Nzd
George Cohen,Nzd
Paddy Crerand,PeeJay
Paolo Di Canio,Egghead06
Julian Dicks,Egghead06
Mike Doyle,Oldelpaso
Eamon Dunphy,Franburke2
Duncan Edwards,PeeJay
David Elleray,PeeJay
Sven-Göran Eriksson,Oldelpaso
Sven-Göran Eriksson,Johan Elisson
Reine Feldt,Johan Elisson
Rio Ferdinand,PeeJay
Alex Ferguson,Mattythewhite
Alex Ferguson,PeeJay
Alex Ferguson,PeeJay
Alex Ferguson,"Govvy, PeeJay, WDM10"
Alex Ferguson,PeeJay
Alex Ferguson,03md
Robbie Fowler,Oldelpaso
Bill Gardner,Nzd
Steven Gerrard,"Dave101, REDMAN 2019"
Steven Gerrard,Mattythewhite
Ryan Giggs,PeeJay
Ryan Giggs,PeeJay
Ryan Giggs,PeeJay
Jimmy Glass,Kaizeler
Shaun Goater,Oldelpaso
David Gold,Nzd
Andy Gray,Nzd
Jimmy Greaves,Egghead06
Gunnar Gren,Johan Elisson
John Grieg,Nzd
Eric Harrison,PeeJay
Ian Holloway,Gasheadsteve
Tobias Hysén,Johan Elisson
Klas Ingesson,Johan Elisson
Willie Irvine,BigDom
Bertil Johansson,Johan Elisson
Lennart Johansson,Johan Elisson
Chris Kamara,Nzd
Roy Keane,"Dave101, PeeJay, Struway2"
Kevin Keegan,Mattythewhite
Georgi Kinkladze,Oldelpaso
Denis Law,PeeJay
Denis Law,PeeJay
John Lyall,Malcolmxl5
Stanley Matthews,"EchetusXe, Struway2"
Ally McCoist,Stevie fae Scotland
Billy Meredith,PeeJay
Lionel Messi,PeeJay
Lionel Messi,PeeJay
Bobby Moore,Egghead06
Jimmy Murphy,PeeJay
Jimmy Murphy,PeeJay
Gary Neville,PeeJay
Eamonn O'Keefe,EchetusXe
Steve Paterson,Nzd
Pelé,PeeJay
Cass Pennant,Nzd
Robin van Persie,PeeJay
Claudio Ranieri,Struway2
Thomas Ravelli,Johan Elisson
Bryan Robson,PeeJay
Bryan Robson,Jameboy
Bobby Robson,Nzd
Cristiano Ronaldo,PeeJay
Alan Rough,Nzd
Neil Ruddock,Egghead06
Ian Rush,REDMAN 2019
Peter Schmeichel,PeeJay
Paul Scholes,PeeJay
Johan Segui,Johan Elisson
Lee Sharpe,Nzd
Peter Shilton,Nzd
Jeff Stelling,Nzd
Peter Swan,EchetusXe
Peter Swan,Dan1980
Trevor Tanner,Govvy
Fernando Torres,PeeJay
Bert Trautmann,Oldelpaso
Neil Warnock,Mattythewhite
Dennis Wise,Nzd
Max Woosnam,Nzd
