col0,col1,col2,col3
"2000
 (7th)",Ramón Gerardo Antonio Estévez,The West Wing,Josiah Bartlet
"2000
 (7th)",Tim Daly,The Fugitive,Richard Kimble
"2000
 (7th)",Anthony Edwards,ER,Mark Greene
"2000
 (7th)",Dennis Franz,NYPD Blue,Andy Sipowicz
"2000
 (7th)",James Gandolfini,The Sopranos,Tony Soprano
"2001
 (8th)",Martin Sheen,The West Wing,Josiah Bartlet
"2001
 (8th)",Richard Dreyfuss,The Education of Max Bickford,Max Bickford
"2001
 (8th)",Dennis Franz,NYPD Blue,Andy Sipowicz
"2001
 (8th)",James Gandolfini,The Sopranos,Tony Soprano
"2001
 (8th)",Peter Krause,Six Feet Under,Nate Fisher
"2002
 (9th)",James Gandolfini,The Sopranos,Tony Soprano
"2002
 (9th)",Michael Chiklis,The Shield,Vic Mackey
"2002
 (9th)",Martin Sheen,The West Wing,Josiah Bartlet
"2002
 (9th)",Kiefer Sutherland,24,Jack Bauer
"2002
 (9th)",Treat Williams,Everwood,Andy Brown
"2003
 (10th)",Kiefer Sutherland,24,Jack Bauer
"2003
 (10th)",Peter Krause,Six Feet Under,Nate Fisher
"2003
 (10th)",Anthony LaPaglia,Without a Trace,Jack Malone
"2003
 (10th)",Martin Sheen,The West Wing,Josiah Bartlet
"2003
 (10th)",Treat Williams,Everwood,Andy Brown
"2004
 (11th)",Jerry Orbach  (posthumous),Law & Order,Lennie Briscoe
"2004
 (11th)",Hank Azaria,Huff,Craig Huffstodt
"2004
 (11th)",James Gandolfini,The Sopranos,Tony Soprano
"2004
 (11th)",Anthony LaPaglia,Without a Trace,Jack Malone
"2004
 (11th)",Kiefer Sutherland,24,Jack Bauer
"2005
 (12th)",Kiefer Sutherland,24,Jack Bauer
"2005
 (12th)",Alan Alda,The West Wing,Arnold Vinick
"2005
 (12th)",Patrick Dempsey,Grey's Anatomy,Derek Shepherd
"2005
 (12th)",Hugh Laurie,House,Gregory House
"2005
 (12th)",Ian McShane,Deadwood,Al Swearengen
"2006
 (13th)",Hugh Laurie,House,Gregory House
"2006
 (13th)",James Gandolfini,The Sopranos,Tony Soprano
"2006
 (13th)",Michael C. Hall,Dexter,Dexter Morgan
"2006
 (13th)",James Spader,Boston Legal,Alan Shore
"2006
 (13th)",Kiefer Sutherland,24,Jack Bauer
"2007
 (14th)",James Gandolfini,The Sopranos,Tony Soprano
"2007
 (14th)",Michael C. Hall,Dexter,Dexter Morgan
"2007
 (14th)",Jon Hamm,Mad Men,Don Draper
"2007
 (14th)",Hugh Laurie,House,Gregory House
"2007
 (14th)",James Spader,Boston Legal,Alan Shore
"2008
 (15th)",Hugh Laurie,House,Gregory House
"2008
 (15th)",Michael C. Hall,Dexter,Dexter Morgan
"2008
 (15th)",Jon Hamm,Mad Men,Don Draper
"2008
 (15th)",William Shatner,Boston Legal,Denny Crane
"2008
 (15th)",James Spader,Boston Legal,Alan Shore
"2009
 (16th)",Michael C. Hall,Dexter,Dexter Morgan
"2009
 (16th)",Simon Baker,The Mentalist,Patrick Jane
"2009
 (16th)",Bryan Cranston,Breaking Bad,Walter White
"2009
 (16th)",Jon Hamm,Mad Men,Don Draper
"2009
 (16th)",Hugh Laurie,House,Gregory House
