col0,col1
Bali Jatti,"Saima, Shaan, Moammar Rana"
Ghabroo Punjab Da,"Nazo, Shafqat Cheema"
Ishtehari Gujjar,"Saima, Shaan, Moammar Rana"
Jatti Da wairr,"Anjuman, Saud, Moamar"
Jug Mahi,"Sana, Shaan, Anjuman"
Jugg Wala Mela,"Saima, Shaan, Panna,  Shafqat"
Long Da Lashkara,"Anjuman, Saud, Sana"
Mehndi Waley Hath,"Saima, Moammar Rana, Babar Ali, Nirma"
Nooran,"Saima, Moamar, Babur"
Peengan,"Saima, Shaan, Moamar"
Reshman,"Sana, Moamar, Sana"
Yaar Badshah,"Saima, Shaan, Nargis"
Yaar Chan Warga,"Saima, Shaan, Saud"
Aasoo Billa,"Sana, Shaan, Babar Ali"
Allah Badshah,"Saima, Shaan, Babur"
Badmash,"Sana, Saud, Noor"
Badmash Gujjar,"Saima, Shaan Shahid, Nirma, Moammar Rana"
Badmash Puttar,"Saima, Shaan, Saud"
Chan Puttar,"Shehzadi, Sardar Mohammad"
Dil Kach Da Khadona,"Saiam, Moamar, Resham"
Gujjar 302,"Saima, Shaan, Nozo"
Ghunda Tax,"Saima, Shaan, Reema"
Hamayun Gujjar,"Shaan, Moammar Rana, Saima, Panna"
Ik Din Sher Da,"Shezadi, Azam Jahangir"
Ik Jagga Hor,"Saima, Shafqat Cheema"
Makha Jat,"Sana, Shaan, Babur"
Mehar Badshah,"Sana, Shaan, Yousuf"
Mera Mahi,"Reema, Saud, Sana"
Mukhra Chan Warga,"Sana, Saud, Noor"
Nizam Lohar,"Sana, Saud, Noor"
Shehnshah,"Saima, Shaan, Nawaz"
Sher-e-Lahore,"Saima, Shaan, Moamar"
Achhu Sheedi,"Saima, Shaan, Babur"
Allah Rakha,"Saima, Shaan, Saud"
Araen Da Kharak,"Yousuf, Saima, Shaan"
Atif Choudhary,"Saima, Moamar Rana"
Babbu Khan,"Saima, Shaan, Reema"
Badmash Te Qanoon,"Sana, Shaan, Babur"
Billa,"Meera, Lucky, Saud"
Buddha Gujjar,"Shaan, Resham, Saima"
Buddha Sher,"Yousuf, Saima, Shaan"
Chan Mehar,"Saima, Moamar Rana"
Charagh Bali,"Sana, Shaan, Babur"
Dada Badmash,"Yousuf, Saima, Shaan"
Dosa,"Heera Malik, Resham"
Ik Gujjar So Badmash,"Saima, Moamar Rana"
Jagga Tax,"Saima, Shaan, Sana"
Jee O Jatta,"Reema, Saud, Babur"
Kalu Shahpuria,"Saima, Shaan, Meera"
Lahori Ghunda,"Saima, Shaan, Babur"
Majhu Da Wair,"Sana, Shaan, Reema"
Raju Rocket,"Saima, Shaan, Moamar"
Rano Phaddebaz,"Megha, Saud, Asha"
Sher-e-Azam,"Saima, Shaan, Resham"
Sher-e-Pakistan,"Saima, Shaan, Reema"
Tohfa Pyar Da,"Resham, Shaan, Arbaz"
Waryam,"Saima, Shaan, Babur"
Wehshi Jatt,"Noor, Shaan, Badar Munir"
Allah Nigehban,"Reema, Saud, Babur"
Foja Amritsaria,"Sana, Shaan, Reema"
Jatt Da Wair,"Saima, Shaan, Reema"
Jeeva Gujjar,"Heera Malik, Resham"
Khar Damagh Gujjar,Sultan Rahi
Lara Punjab Da,"Saima, Shaan, Sana"
Mehar Da Medan,"Saima, Shaan, Babur"
Moula Sher,"Yousuf, Saima, Shaan"
Pappu Lahoria,"Saima, Shaan"
Remand,"Saima, Moamar Rana"
Shagna De Mehndi,"Sana, Shaan, Babur"
Sher Puttar,"Sana, Shaan, Babur"
Ultimatum,"Noor, Shaan, Badar Munir"
Bhola Sajan,"Saima, Shaan, Babar Ali"
Billu Ghantagharia,"Saima, Shaan, Babar Ali"
Curfew Order,"Saima, Shaan, Moamar Rana"
Dehshat,"Saima, Shaan, Moamar Rana"
Dushman Da Kharak,Sultan Rahi
Guddo Badshah,"Saima, Shaan, Moamar Rana"
Jabroo,"Saima, Shaan, Moamar Rana"
Jaga Baloch,"Saima, Shaan, Resham"
Jageer,"Saima, Moammar Rana, Babar Ali"
Medan,"Sana, Shaan, Babar Ali"
Mulla Muzaffar,"Saima, Shaan, Moamar Rana"
Munna Bhai,"Saima, Shaan, Babar Ali"
Nagri Daata Di,"Saima, Shaan, Babar Ali"
Pagri Sanbhal Jatta,"Sana, Moamar, Saud"
Perdesi Aye Watna Nu,"Paro, Saud, Moamar"
Sakhi Sultan,"Saima, Shaan, Moamar Rana"
Wehshi Haseena,"Sana, Shaan, Moamar Rana"
Bau Badmash,"Saima, Moamar, Babar Ali"
Bhola Sunyara,"Saima, Shaan, Saud, Aliya"
Kurian Shehar Dian,"Saima, Shaan, Resham, Saud"
Pappu Shehzada,"Saima, Shaan, Shafqat Cheema"
Sheru Badshah,"Khusbu, Shafqat Cheema, Tariq Shah"
Sohna Yaar Punjabi,"Sana, Shamyl Khan, Babar Ali"
Wada Chodhary,"Saima, Shaan, Babar Ali"
Ziddi Rajput,"Sana, Shaan, Saud, Laila, Saima Khan"
Athra,"Sana, Shaan, Saud, Saima Khan"
Butt Badshah,"Saima, Shaan, Moamar Rana, Resham"
Chann Badshah,"Saima, Shaan"
Ibba (Gujjar),"Shaan, Saima, Moammar Rana"
