col0,col1
Europe,Europe
"Madrid, Spain",Palacio de Deportes de la Comunidad de Madrid
"Madrid, Spain",Barclaycard Center
Zaragoza,Pabellón Príncipe Felipe
Barcelona,Palau Sant Jordi
Barcelona,Palau Sant Jordi
Málaga,Palacio de Deportes José María Martín Carpena
Málaga,Palacio de Deportes José María Martín Carpena
Seville,Palacio Municipal de Deportes San Pablo
Seville,Palacio Municipal de Deportes San Pablo
Lisbon,MEO Arena
Lisbon,MEO Arena
Lisbon,MEO Arena
Turin,Pala Alpitour
Milan,Mediolanum Forum
Milan,Mediolanum Forum
Bologna,Unipol Arena
Florence,Nelson Mandela Forum
Florence,Nelson Mandela Forum
Rome,PalaLottomatica
Rome,PalaLottomatica
Rome,PalaLottomatica
Lyon,Halle Tony Garnier
Lyon,Halle Tony Garnier
Toulouse,Zénith de Toulouse
Toulouse,Zénith de Toulouse
Paris,Zénith Paris
Paris,Zénith Paris
Paris,Zénith Paris
Paris,Zénith Paris
Paris,Zénith Paris
Strasbourg,Zénith de Strasbourg
Strasbourg,Zénith de Strasbourg
Montpellier,Arena de Montpellier
Montpellier,Arena de Montpellier
Marseille,Le Dôme de Marseille
Marseille,Le Dôme de Marseille
Douai,Gayant Expo
Douai,Gayant Expo
Rotterdam,Sportpaleis van Ahoy
Brussels,Palais 12
Brussels,Palais 12
Brussels,Palais 12
Clermont-Ferrand,Zenith de Clermont-Ferrand
Geneva,SEG Geneva Arena
Geneva,SEG Geneva Arena
Munich,Olympiahalle
Munich,Olympiahalle
Łódź,Atlas Arena
Latin America,Latin America
Buenos Aires,Estadio Cubierto de Tecnópolis
Buenos Aires,Estadio Cubierto de Tecnópolis
Buenos Aires,Estadio Cubierto de Tecnópolis
Montevideo,Estadio Gran Parque Central
Bahía Blanca,Club Midgistas del Sur
Resistencia,Estadio Centenario
Asunción,Hipódromo de Asunción
Córdoba,Orfeo Superdomo
Córdoba,Orfeo Superdomo
Salta,Estadio Padre Ernesto Martearena
Quito,Estadio Olímpico Atahualpa
Guayaquil,Estadio Modelo Alberto Spencer Herrera
Lima,Jockey Club Parcela H
Mexico City,Auditorio Nacional
Mexico City,Auditorio Nacional
Mexico City,Auditorio Nacional
Zapopan,Telmex Auditorium
Zapopan,Telmex Auditorium
Monterrey,Auditorio Banamex
Medellín,Plaza de Toros La Macarena
Bogotá,Centro de Eventos Autopista Norte
Barranquilla,Romelio Martínez Stadium
Panama City,Figali Convention Center
Santo Domingo,Estadio Quisqueya
Santa Cruz de la Sierra,Estadio Ramón Tahuichi Aguilera
Mendoza,Arena Maipú
Mendoza,Arena Maipú
Tucumán,Club San Martín
São Paulo,Citibank Hall
São Paulo,Citibank Hall
Rio de Janeiro,HSBC Arena
Santiago,Movistar Arena
Santiago,Movistar Arena
Santiago,Movistar Arena
Europe,Europe
Warsaw,"National Stadium, Warsaw"
Kraków,Tauron Arena Kraków
Kraków,Tauron Arena Kraków
Budapest,László Papp Budapest Sports Arena
Budapest,László Papp Budapest Sports Arena
Bucharest,Piața Constituției
Vienna,Wiener Stadthalle
Vienna,Wiener Stadthalle
Verona,Verona Arena
Pesaro,Adriatic Arena
Paris,Zénith Paris
Paris,Zénith Paris
Nantes,Zénith de Nantes
Nantes,Zénith de Nantes
Bordeaux,Patinoire de Mériadeck
Bordeaux,Patinoire de Mériadeck
Stuttgart,Hanns-Martin-Schleyer-Halle
Stuttgart,Hanns-Martin-Schleyer-Halle
Berlin,Mercedes-Benz Arena
Oberhausen,König Pilsener Arena
Antwerp,Sportpaleis
Cologne,Lanxess Arena
Hamburg,Barclaycard Arena
Hamburg,Barclaycard Arena
Frankfurt,Festhalle Frankfurt
Frankfurt,Festhalle Frankfurt
Nice,Palais Nikaïa
Nice,Palais Nikaïa
