col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Battersea North,Jay,Jay,Jay,Jay,Jay,Jay,Jay,Jay,Jay,Jay
Tooting,Cox,Thomas Michael Cox,Cox,Cox,Cox,Cox,Thomas Michael Cox,Thomas Michael Cox,Cox,Cox
Feltham and Heston,R. Kerr,Russell Whiston Kerr,R. Kerr,R. Kerr,R. Kerr,R. Kerr,Reginald Patrick Ground,Ground,Reginald Patrick Ground,David Alan Keen
Croydon North West,Robert George Taylor,Robert George Taylor,Taylor,Robert George Taylor,Pitt,Pitt,Malins,Malins,Malins,Wicks
Mitcham / Mitcham and Morden,Bruce Leslie Home Douglas-Mann,Douglas-Mann,Bruce Leslie Home Douglas-Mann,Bruce Leslie Home Douglas-Mann,Bruce Leslie Home Douglas-Mann,Dame Angela Claire Rosemary Rumbold,Rumbold,Dame Angela Claire Rosemary Rumbold,Rumbold,Angela Claire Rosemary Rumbold
Brentford & Isleworth,Hayhoe,Hayhoe,Hayhoe,Hayhoe,Hayhoe,Hayhoe,Hayhoe,Hayhoe,Hayhoe,Deva
Battersea South,Ernest George Perry,Perry,Ernest George Perry,Dubs,Dubs,Dubs,,,,
Croydon Central,Moore,"John Edward Michael Moore, Baron Moore of Lower Marsh","John Edward Michael Moore, Baron Moore of Lower Marsh",Moore,"John Edward Michael Moore, Baron Moore of Lower Marsh",Moore,"John Edward Michael Moore, Baron Moore of Lower Marsh","John Edward Michael Moore, Baron Moore of Lower Marsh",Moore,Beresford
Putney,Hugh Jenkins,Hugh Jenkins,Hugh Jenkins,David John Mellor,David John Mellor,Mellor,Mellor,David John Mellor,David John Mellor,Mellor
Wimbledon,Havers,Sir Michael Havers,"Robert Michael Oldfield Havers, Baron Havers",Sir Michael Havers,Havers,Sir Michael Havers,Havers,Havers,Goodson-Wickes,Goodson-Wickes
Croydon South,Clark,Clark,Clark,Clark,Clark,Clark,Clark,Clark,Clark,Ottaway
Richmond / Richmond & Barnes,Royle,Royle,Royle,Royle,Royle,Royle,Hanley,Hanley,Hanley,Hanley
Kingston upon Thames,Lamont,Lamont,Lamont,Lamont,Lamont,Lamont,Lamont,Lamont,Lamont,Lamont
Sutton and Cheam,Macfarlane,Macfarlane,Macfarlane,Macfarlane,Macfarlane,Macfarlane,Macfarlane,Macfarlane,Macfarlane,Maitland
Twickenham,Jessel,Jessel,Jessel,Jessel,Jessel,Jessel,Jessel,Jessel,Jessel,Jessel
Carshalton,Carr,Carr,Forman,Forman,Forman,Forman,Forman,Forman,Forman,Forman
Surbiton,Fisher,Fisher,Fisher,Fisher,Fisher,Fisher,Tracey,Tracey,Tracey,Tracey
Croydon North East,Weatherill,Weatherill,Weatherill,Weatherill,Weatherill,Weatherill,Weatherill,Weatherill,Weatherill,Congdon
