col0,col1
Georgia Bonora,"Fitzroy, Victoria, Australia"
Ashleigh Jade Brennan,"Melbourne, Australia"
Dasha,"Leninsk-Kuznetsky, Russia"
Lauren Mitchell,"Subiaco, Australia"
Shona Morgan,"Mount Waverley, Australia"
Olivia Vivian,"Perth, Australia"
Nastassia Marachkouskaya,"Minsk, Belarus"
Gaelle Mys,"Ghent, Belgium"
Jade Barbosa,"Rio de Janeiro, Brazil"
Daiane dos Santos,"Porto Alegre, Brazil"
Ethiene Franco,"Curitiba, Brazil"
Daniele Hypólito,"Santo André, Brazil"
Ana Cláudia Silva,"Natal, Brazil"
Laís Souza,"Ribeirão Preto, Brazil"
Nikolina Tankoucheva,"Sofia, Bulgaria"
Nansy Damianova,"Montreal, Quebec"
Elyse Hopfner-Hibbs,"Mississauga, Ontario"
Cheng Fei,"Huangshi, China"
Deng Linlin,"Fuyang, China"
He Kexin,"Beijing, China"
Jiang Yuyuan,"Liuzhou, China"
Li Shanshan,"Huangshi, China"
Yang Yilin,"Guangzhou, China"
Nathalia Sánchez,"Villavicencio, Colombia"
Tina Erceg,"Split, Croatia"
Kristýna Pálešová,"Ivančice, Czech Republic"
Sherine El-Zeiny,"Amsterdam, Netherlands"
Rose-Eliandre Bellemare,"Montpellier, France"
Marine Debauve,"Dijon, France"
Laetitia Dugain,"Annecy, France"
Katheleen Lindor,"Aubergenville, France"
Pauline Morel,"Chenôve, France"
Marine Petit,"Saint-Vallier, France"
Katja Abel,"Berlin, Germany"
Daria Bijak,"Racibórz, Poland"
Anja Brinker,"Melle, Germany"
Oksana Chusovitina,"Bukhara, Uzbekistan"
Marie-Sophie Hindermann,"Tübingen, Germany"
Joeline Möbius,"Chemnitz, Germany"
Imogen Cairns,"Bristol, England"
Becky Downie,"Nottingham, England"
Marissa King,"Cambridge, England"
Beth Tweddle,"Bunbury, England"
Hannah Whelan,"Stockport, England"
Rebecca Wing,"Farnborough, England"
Stefani Bismpikou,"Athens, Greece"
Dorina Böczögő,"Orosháza, Hungary"
Francesca Benolli,"Trieste, Italy"
Monica Bergamelli,"Alzano Lombardo, Italy"
Vanessa Ferrari,"Genivolta, Italy"
Carlotta Giovannini,"Castel San Pietro Terme, Italy"
Federica Macrì,"Trieste, Italy"
Lia Parolari,"Orzinuovi, Italy"
Mayu Kuroda,"Aichi, Japan"
Yu Minobe,"Komatsu, Japan"
Kyoko Oshima,"Tokyo, Japan"
Yuko Shintake,"Osaka, Japan"
Kōko Tsurumi,"Saitama, Japan"
Miki Uemura,"Arida, Japan"
Jelena Zanevskaja,"Vilnius, Lithuania"
Marisela Cantú,"Monterrey, Mexico"
Suzanne Harmes,"Zoetermeer, Netherlands"
Cha Yong-hwa,"Pyongyang, North Korea"
Hong Un-jong,"Hamhung, North Korea"
Marta Pihan,"Szczecin, Poland"
Andreea Acatrinei,"Brașov, Romania"
Gabriela Drăgoi,"Buzău, Romania"
Andreea Grigore,"Bucharest, Romania"
Sandra Izbașa,"Bucharest, Romania"
Steliana Nistor,"Sibiu, Romania"
Anamaria Tămârjan,"Constanța, Romania"
Ksenia Afanasyeva,"Tula, Russia"
Ludmila Grebenkova,"Moscow, Russia"
Svetlana Klyukina,"Severodvinsk, Russia"
Ekaterina Kramarenko,"Saint Petersburg, Russia"
Anna Pavlova,"Orekhovo-Zuyevo, Russia"
Ksenia Semyonova,"Novomoskovsk, Russia"
Ivana Kováčová,"Bratislava, Slovakia"
Adela Šajn,"Ljubljana, Slovenia"
Jo Hyun-joo,"Seoul, South Korea"
Laura Campos,"Mérida, Spain"
Lenika de Simone,"Hollywood, Florida"
Ariella Käslin,"Lucerne, Switzerland"
Valentyna Holenkova,"Kropyvnytskyi, Ukraine"
Anastasia Koval,"Kyiv, Ukraine"
Alina Kozich,"Kyiv, Ukraine"
Iryna Krasnianska,"Vologda, Russia"
Maryna Proskurina,"Kharkiv, Ukraine"
Dariya Zgoba,"Ivano-Frankivsk, Ukraine"
Shawn Johnson,"West Des Moines, Iowa"
Nastia Liukin,"Plano, Texas"
Chellsie Memmel,"West Allis, Wisconsin"
Samantha Peszek,"McCordsville, Indiana"
Alicia Sacramone,"Winchester, Massachusetts"
Bridget Sloan,"Cincinnati, Ohio"
Luiza Galiulina,"Tashkent, Uzbekistan"
Jessica López,"Caracas, Venezuela"
Đỗ Thị Ngân Thương,"Hanoi, Vietnam"
